id,batch,case_id,label,seed,variant,source_config,source_config_sha256,config,target,continuation
run_001,6,five_001_nursery_manager,Local-only,42,,outputs/five_001_nursery_manager/image_past_seed42/local/config.json,d25c7db6f2a30f8a3f64d00769f1dbd1c89e5d6dd0bedc9c1308016eb11145fb,records/outputs/five_001_nursery_manager/image_past_seed42/local/config.json,media/videos/4355ba851305f767e18fdab78920feebc207c673744939b9a927ab038cbd11cb.mp4,media/videos/2b0d62e5ea9af1cc627989626aba153af3126a79e19b4006b4171b563b7f7711.mp4
run_002,6,five_001_nursery_manager,Oracle · Video-Past,42,,outputs/five_001_nursery_manager/image_past_seed42/oracle/config.json,d02c49fab5243d4e829093a0160276945cfa94720cbca04b4becfc78ae3ce99e,records/outputs/five_001_nursery_manager/image_past_seed42/oracle/config.json,media/videos/925a2cf99fad45b782daff79de99f724aaed6e2e162c972d762a1cb6b09cfbf8.mp4,media/videos/71d5ab3efa626846f5c85357484099dc6ec9cce9503162746d2d4861929d3e3c.mp4
run_003,8,five_001_nursery_manager,Oracle · Image-Past,42,P1,outputs/five_001_nursery_manager/prompt_control_seed42/P1/image_past/config.json,96e10771c04da6d096aa0aafeca0ea8e4ea226b22497a183caa74fb817009904,records/outputs/five_001_nursery_manager/prompt_control_seed42/P1/image_past/config.json,media/videos/35b7c5e6c891f484daac90ae63c18adf74ec1d3b41fadae4c5944b0bb5d3f7dc.mp4,media/videos/1ee71e3cab6b797167b27b98f4c3bcb7a34311a1943071c9b43df1b8262fdbe9.mp4
run_004,8,five_001_nursery_manager,Local-only,42,P1,outputs/five_001_nursery_manager/prompt_control_seed42/P1/local/config.json,10fc66e3bba62a28e213c6ca60b52b99e318cb1706f8f1f4277172071b306d7e,records/outputs/five_001_nursery_manager/prompt_control_seed42/P1/local/config.json,media/videos/acb6cdc3c9615d14b54af013cc16877b7c672d9ffa9ac49fd5007916cc1adda4.mp4,media/videos/1ba288474084161f33a6529432f577319249a64c8a82f229a790ba2b311204e6.mp4
run_005,8,five_001_nursery_manager,Oracle · Video-Past,42,P1,outputs/five_001_nursery_manager/prompt_control_seed42/P1/video_past/config.json,f1465b0633fafa2b59942e3697860c1446ba0b333b2b4588b8a768a68fa9a9bb,records/outputs/five_001_nursery_manager/prompt_control_seed42/P1/video_past/config.json,media/videos/1bc15211f7b3de59ccd919b1a8ce7325e9bcb91320ddb51a0bda6f9a8fcedf37.mp4,media/videos/a309b2fa144f2b857403c644bf45c7278efe1110193147d77ab0d09739b8f049.mp4
run_006,8,five_001_nursery_manager,Oracle · Image-Past,42,P2,outputs/five_001_nursery_manager/prompt_control_seed42/P2/image_past/config.json,0d63f1ae7c6f30733784b652677dd2281f0fd8733d0f6a72fd50c18b1810f88d,records/outputs/five_001_nursery_manager/prompt_control_seed42/P2/image_past/config.json,media/videos/87f5afd6adeeda5478615817cd3798a75c2cacf549a096a0e68f8bb37917ef06.mp4,media/videos/1878545869f6ce030240cf4a6c10114313d918d83e578be6f692c22eabfe87ca.mp4
run_007,8,five_001_nursery_manager,Local-only,42,P2,outputs/five_001_nursery_manager/prompt_control_seed42/P2/local/config.json,60035fe4e1408f5203ddee122a62545408d9611c845c5385be0a183a02ae5cd7,records/outputs/five_001_nursery_manager/prompt_control_seed42/P2/local/config.json,media/videos/eb10b21f92159e20fe9e85ec0a8902315759a25f9d0c586975151f03508f7b71.mp4,media/videos/a5ba6bda62ec86175198348a81e8128545960e6cc624cf0e310f9d75096006ce.mp4
run_008,8,five_001_nursery_manager,Oracle · Video-Past,42,P2,outputs/five_001_nursery_manager/prompt_control_seed42/P2/video_past/config.json,519b882febaa9b7266aa600fe1764c0367775939f1104f5411931b23e0cccc80,records/outputs/five_001_nursery_manager/prompt_control_seed42/P2/video_past/config.json,media/videos/16bcd1d09f3852480be18ca0a04df10e9c30bfc5df06f4359eb8ddd128a71ba9.mp4,media/videos/e0f669982f91f8fc6cb9d03fb1b30a7f5f6e165a5588b73cecea7a6a2184f8fe.mp4
run_009,8,five_001_nursery_manager,Oracle · Image-Past,42,P3,outputs/five_001_nursery_manager/prompt_control_seed42/P3/image_past/config.json,29fd313f92007e219d7834f06b7839b7e6837a5c55f66da1e0560a2bb264dcae,records/outputs/five_001_nursery_manager/prompt_control_seed42/P3/image_past/config.json,media/videos/5240ff0ed412fbf2b3cd459557a70cdc18b2c5c82bd4f98041f8d2e56fb8f7e6.mp4,media/videos/dc62133fd24f173ed5fd583a8d9f9ce6f62423a3e08ef3f3db1c04ff0a9c0d92.mp4
run_010,8,five_001_nursery_manager,Local-only,42,P3,outputs/five_001_nursery_manager/prompt_control_seed42/P3/local/config.json,8c091596db8b792a9210d68996fba1cc9d6517adc5c7d3ffa2bac93aa6cc5fb5,records/outputs/five_001_nursery_manager/prompt_control_seed42/P3/local/config.json,media/videos/2879bc6af39418e2a0bb6a5658d47cd844e2ebbff8cc83e387777f88a528f095.mp4,media/videos/fbd73192810004487c24ab5ed46397b41a7398e989fa9b358883999ff0b25152.mp4
